"p","u1","u2","u3","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
126.96,0.35325,7.2843e-07,-3.8732e-06,1,0,0,0.3,0.2
125.93,0.35209,0.0010845,-6.0367e-05,1,0.05,0.05,0.3,0.2
124.51,0.35105,0.0018347,-9.5883e-05,1,0.1,0.1,0.3,0.2
123.18,0.35017,0.0026354,-0.00012729,1,0.15,0.15,0.3,0.2
121.93,0.34921,0.0040597,-0.00013975,1,0.2,0.2,0.3,0.2
120.88,0.34863,0.007266,-0.00019779,1,0.25,0.25,0.3,0.2
120.22,0.34783,0.014479,-0.0002805,1,0.3,0.3,0.3,0.2
119.94,0.34811,0.030713,-0.00058132,1,0.35,0.35,0.3,0.2
117.47,0.35741,0.064595,-0.0011031,1,0.4,0.4,0.3,0.2
101.28,0.40373,0.11055,-0.0019475,1,0.45,0.45,0.3,0.2
69.819,0.48171,0.095036,-0.0022577,1,0.5,0.5,0.3,0.2
60.28,0.47665,0.025476,-0.0016563,1,0.55,0.55,0.3,0.2
61.981,0.44399,-0.012824,-0.0011511,1,0.6,0.6,0.3,0.2
64.377,0.42307,-0.028101,-0.00085755,1,0.65,0.65,0.3,0.2
65.761,0.40987,-0.032027,-0.00059996,1,0.7,0.7,0.3,0.2
65.921,0.40153,-0.029734,-0.00040394,1,0.75,0.75,0.3,0.2
65.052,0.39479,-0.02516,-9.3192e-05,1,0.8,0.8,0.3,0.2
63.506,0.38823,-0.020782,-0.00020756,1,0.85,0.85,0.3,0.2
61.743,0.38323,-0.016562,-0.00010039,1,0.9,0.9,0.3,0.2
59.807,0.37767,-0.01334,-0.00017574,1,0.95,0.95,0.3,0.2
57.779,0.37295,-0.011017,-0.0002252,1,1,1,0.3,0.2
55.73,0.36871,-0.0097831,0.00011502,1,1.05,1.05,0.3,0.2
53.691,0.3653,-0.0080758,9.8039e-06,1,1.1,1.1,0.3,0.2
51.569,0.36219,-0.0070728,9.2623e-05,1,1.15,1.15,0.3,0.2
49.462,0.35927,-0.0065536,-7.1869e-05,1,1.2,1.2,0.3,0.2
47.396,0.35708,-0.0058291,-0.00021493,1,1.25,1.25,0.3,0.2
45.258,0.35318,-0.0058115,9.0925e-05,1,1.3,1.3,0.3,0.2
43.218,0.35138,-0.0051431,-6.9497e-06,1,1.35,1.35,0.3,0.2
41.127,0.3499,-0.0047962,3.1376e-05,1,1.4,1.4,0.3,0.2
39.128,0.34917,-0.0043821,0.00012956,1,1.45,1.45,0.3,0.2
37.085,0.34775,-0.0039389,8.8744e-05,1,1.5,1.5,0.3,0.2
35.089,0.34669,-0.0036188,-6.1092e-05,1,1.55,1.55,0.3,0.2
33.153,0.34587,-0.0033442,-9.0948e-05,1,1.6,1.6,0.3,0.2
31.221,0.34506,-0.0031359,-8.7815e-05,1,1.65,1.65,0.3,0.2
29.296,0.3436,-0.002945,-0.00011183,1,1.7,1.7,0.3,0.2
27.363,0.34243,-0.002869,-0.00012504,1,1.75,1.75,0.3,0.2
25.48,0.34224,-0.0027024,-0.00012288,1,1.8,1.8,0.3,0.2
23.548,0.34147,-0.0024203,-6.535e-05,1,1.85,1.85,0.3,0.2
21.686,0.34111,-0.0021956,8.8225e-06,1,1.9,1.9,0.3,0.2
19.786,0.34071,-0.0020447,7.5042e-05,1,1.95,1.95,0.3,0.2
17.933,0.34017,-0.0018946,-3.298e-05,1,2,2,0.3,0.2
16.085,0.33992,-0.0017486,0.00023525,1,2.05,2.05,0.3,0.2
14.21,0.34009,-0.0016569,0.00021147,1,2.1,2.1,0.3,0.2
12.391,0.33965,-0.0013348,0.00012609,1,2.15,2.15,0.3,0.2
10.565,0.33943,-0.0013522,0.000163,1,2.2,2.2,0.3,0.2
8.7388,0.3395,-0.0010978,0.00010439,1,2.25,2.25,0.3,0.2
6.9595,0.33939,-0.00087246,0.00015895,1,2.3,2.3,0.3,0.2
5.1676,0.33932,-0.00093548,0.00024337,1,2.35,2.35,0.3,0.2
3.4419,0.3394,-0.00083914,-6.5471e-05,1,2.4,2.4,0.3,0.2
1.6911,0.33913,-0.00076027,2.0502e-05,1,2.45,2.45,0.3,0.2
0.00018079,0.33891,-0.00054701,-0.00020253,1,2.5,2.5,0.3,0.2
