"p","u1","u2","u3","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
127.47,0.44937,2.1147e-07,1.3058e-07,1,0,0,0.2,0.2
126.39,0.44808,8.7485e-05,-5.4674e-05,1,0.05,0.05,0.2,0.2
124.93,0.44657,0.00018822,-8.5265e-05,1,0.1,0.1,0.2,0.2
123.78,0.44434,0.00031252,-0.00010663,1,0.15,0.15,0.2,0.2
123.1,0.4411,0.00041804,-0.0001332,1,0.2,0.2,0.2,0.2
123.47,0.43539,0.0004938,-0.0002636,1,0.25,0.25,0.2,0.2
126.45,0.42363,0.00053902,-0.00054368,1,0.3,0.3,0.2,0.2
136.13,0.39482,0.00011049,-0.0012394,1,0.35,0.35,0.2,0.2
163.5,0.31102,-0.0011181,-0.0030819,1,0.4,0.4,0.2,0.2
204.74,0.0052991,0.00021131,-0.00057087,1,0.45,0.45,0.2,0.2
nan,nan,nan,nan,0,0.5,0.5,0.2,0.2
52.899,-0.00030937,-2.9837e-05,-3.7882e-05,1,0.55,0.55,0.2,0.2
56.327,-0.016499,0.00050448,0.0027767,1,0.6,0.6,0.2,0.2
62.209,0.017442,0.0012935,0.0032054,1,0.65,0.65,0.2,0.2
66.076,0.064889,0.0015059,0.003145,1,0.7,0.7,0.2,0.2
67.36,0.1112,0.0019303,0.0024896,1,0.75,0.75,0.2,0.2
66.803,0.15301,0.0016119,0.00199,1,0.8,0.8,0.2,0.2
65.149,0.18757,0.0017118,0.0017723,1,0.85,0.85,0.2,0.2
63.046,0.21715,0.0014703,0.0011949,1,0.9,0.9,0.2,0.2
60.791,0.24081,0.0012768,0.0010182,1,0.95,0.95,0.2,0.2
58.502,0.26126,0.001313,0.00076995,1,1,1,0.2,0.2
56.22,0.27707,0.00098087,0.00056218,1,1.05,1.05,0.2,0.2
54.046,0.29278,0.00034245,0.00069403,1,1.1,1.1,0.2,0.2
51.804,0.3052,0.0011336,0.00027179,1,1.15,1.15,0.2,0.2
49.676,0.31637,0.00060585,0.00054696,1,1.2,1.2,0.2,0.2
47.521,0.32616,0.00045994,0.00015464,1,1.25,1.25,0.2,0.2
45.407,0.33568,1.8726e-05,0.00020862,1,1.3,1.3,0.2,0.2
43.299,0.34287,0.00017875,0.00029812,1,1.35,1.35,0.2,0.2
41.232,0.34948,0.00025262,7.9142e-05,1,1.4,1.4,0.2,0.2
39.172,0.35364,0.00018277,-0.00010299,1,1.45,1.45,0.2,0.2
37.179,0.36027,-9.3249e-05,5.2662e-05,1,1.5,1.5,0.2,0.2
35.184,0.36625,-4.3605e-05,9.4223e-05,1,1.55,1.55,0.2,0.2
33.192,0.37085,-0.00019817,0.00010907,1,1.6,1.6,0.2,0.2
31.232,0.3744,-0.00024545,4.0487e-06,1,1.65,1.65,0.2,0.2
29.286,0.37744,-0.00027988,0.0001152,1,1.7,1.7,0.2,0.2
27.388,0.38054,-0.00038153,-1.2464e-05,1,1.75,1.75,0.2,0.2
25.486,0.38428,-0.00045911,-8.366e-05,1,1.8,1.8,0.2,0.2
23.6,0.38701,-0.00044962,-3.4089e-06,1,1.85,1.85,0.2,0.2
21.721,0.38968,-0.00049375,-3.3064e-06,1,1.9,1.9,0.2,0.2
19.848,0.39171,-0.00047695,-2.5977e-05,1,1.95,1.95,0.2,0.2
17.989,0.39355,-0.00046884,2.3671e-05,1,2,2,0.2,0.2
16.131,0.39546,-0.00037958,-0.00010389,1,2.05,2.05,0.2,0.2
14.302,0.39767,-0.00030674,6.2597e-05,1,2.1,2.1,0.2,0.2
12.468,0.39938,-0.00029803,0.00010097,1,2.15,2.15,0.2,0.2
10.628,0.40074,-0.00028736,9.0564e-05,1,2.2,2.2,0.2,0.2
8.7954,0.40193,-0.00021585,8.2555e-05,1,2.25,2.25,0.2,0.2
7.0041,0.40324,-0.00017489,7.6647e-05,1,2.3,2.3,0.2,0.2
5.2177,0.40443,-0.0001429,0.00013717,1,2.35,2.35,0.2,0.2
3.4405,0.40539,-0.0001236,0.0001156,1,2.4,2.4,0.2,0.2
1.6928,0.40613,-0.00014411,4.9401e-05,1,2.45,2.45,0.2,0.2
0.00015654,0.40728,-0.00017246,8.6766e-05,1,2.5,2.5,0.2,0.2
