"5 - X","d1","d2","dd1:0","dd1:1","dd1:2","dd2:0","dd2:1","dd2:2","s22","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
5,2.3347e-15,1.1718e-14,-9.7778e-13,4.6561e-17,0,1.1066e-17,3.8996e-12,0,0.98407,1,0,0,0,0
4.75,-2.4192e-13,1.1732e-14,-9.7623e-13,-2.3744e-16,0,1.0526e-16,3.9029e-12,0,0.9852,1,0.25,0.25,0,0
4.5,-4.8532e-13,1.1771e-14,-9.7098e-13,-4.6293e-16,0,2.1062e-16,3.9124e-12,0,0.9885,1,0.5,0.5,0,0
4.25,-7.2692e-13,1.1838e-14,-9.6191e-13,-7.1397e-16,0,3.2234e-16,3.9282e-12,0,0.99407,1,0.75,0.75,0,0
4,-9.6573e-13,1.1934e-14,-9.4858e-13,-1.046e-15,0,4.4516e-16,3.9508e-12,0,1.0021,1,1,1,0,0
3.75,-1.2006e-12,1.2062e-14,-9.3038e-13,-1.5083e-15,0,5.8546e-16,3.9811e-12,0,1.0128,1,1.25,1.25,0,0
3.5,-1.4302e-12,1.223e-14,-9.0661e-13,-2.097e-15,0,7.5243e-16,4.0203e-12,0,1.0268,1,1.5,1.5,0,0
3.25,-1.6531e-12,1.2444e-14,-8.7658e-13,-2.8797e-15,0,9.6109e-16,4.0707e-12,0,1.0447,1,1.75,1.75,0,0
3,-1.8676e-12,1.272e-14,-8.3982e-13,-4.0663e-15,0,1.2372e-15,4.1362e-12,0,1.0677,1,2,2,0,0
2.75,-2.0721e-12,1.308e-14,-7.9661e-13,-5.8512e-15,0,1.6218e-15,4.2237e-12,0,1.0977,1,2.25,2.25,0,0
2.5,-2.2654e-12,1.3563e-14,-7.4958e-13,-8.6877e-15,0,2.1938e-15,4.3454e-12,0,1.1378,1,2.5,2.5,0,0
2.25,-2.4473e-12,1.4238e-14,-7.0599e-13,-1.2555e-14,0,3.0803e-15,4.5255e-12,0,1.194,1,2.75,2.75,0,0
2,-2.6213e-12,1.524e-14,-6.8457e-13,-1.9408e-14,0,4.5241e-15,4.8093e-12,0,1.2768,1,3,3,0,0
1.75,-2.8003e-12,1.6854e-14,-7.4099e-13,-2.5823e-14,0,6.8358e-15,5.3071e-12,0,1.4107,1,3.25,3.25,0,0
1.5,-3.0216e-12,1.9802e-14,-9.8096e-13,-3.5809e-14,0,9.3439e-15,6.2469e-12,0,1.6474,1,3.5,3.5,0,0
1.25,-3.396e-12,2.6427e-14,-1.8437e-12,-4.4393e-14,0,6.1222e-15,8.4161e-12,0,2.1561,1,3.75,3.75,0,0
1,-4.2987e-12,4.5709e-14,-5.6034e-12,9.8593e-14,0,1.9523e-13,1.4334e-11,0,3.3736,1,4,4,0,0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,4.25,4.25,0,0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,4.5,4.5,0,0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,4.75,4.75,0,0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,5,5,0,0
