"          S-S11","          S-S22","Points:0","Points:1","Points:2"
0.1239,0.73965,0,0,0
0.092279,2.0807,0.25,0,0
0.092279,2.0807,0.5,0,0
0.092279,2.0807,0.75,0,0
0.092279,2.0807,1,0,0
0.26048,1.3594,1.25,0,0
0.17476,1.1992,1.5,0,0
0.12854,1.0974,1.75,0,0
0.089105,1.0562,2,0,0
0.072563,1.0452,2.25,0,0
0.049984,1.0307,2.5,0,0
0.042594,1.0263,2.75,0,0
0.029655,1.0194,3,0,0
0.020442,1.0144,3.25,0,0
0.016452,1.0122,3.5,0,0
0.010668,1.0084,3.75,0,0
0.0062441,1.0047,4,0,0
0.0047023,1.0029,4.25,0,0
0.0019173,0.99851,4.5,0,0
0.00056341,0.99575,4.75,0,0
-0.00036304,0.98915,5,0,0
