"X","Y","Z","         S-S22","5-X","Points:0","Points:1","Points:2"
0,0,0,0.84552,5,0,0,0
0.25,0,0,0.89116,4.75,0.25,0,0
0.5,0,0,0.92867,4.5,0.5,0,0
0.75,0,0,0.96087,4.25,0.75,0,0
1,0,0,0.98963,4,1,0,0
1.25,0,0,1.0164,3.75,1.25,0,0
1.5,0,0,1.0425,3.5,1.5,0,0
1.75,0,0,1.0692,3.25,1.75,0,0
2,0,0,1.0979,3,2,0,0
2.25,0,0,1.1306,2.75,2.25,0,0
2.5,0,0,1.1706,2.5,2.5,0,0
2.75,0,0,1.2235,2.25,2.75,0,0
3,0,0,1.2993,2,3,0,0
3.25,0,0,1.422,1.75,3.25,0,0
3.5,0,0,1.6363,1.5,3.5,0,0
3.75,0,0,2.0898,1.25,3.75,0,0
4,0,0,3.3384,1,4,0,0
0,0,0,0,0,4.25,0,0
0,0,0,0,0,4.5,0,0
0,0,0,0,0,4.75,0,0
0,0,0,0,0,5,0,0
