"          S-S11","          S-S22","Points:0","Points:1","Points:2"
0.1239,0.73965,0,0,0
-0.70135,-0.078578,0,0.25,0
-0.70135,-0.078578,0,0.5,0
-0.70135,-0.078578,0,0.75,0
-0.70135,-0.078578,0,1,0
-0.12279,0.083973,0,1.25,0
-0.0099237,0.32912,0,1.5,0
0.018224,0.56446,0,1.75,0
0.02152,0.71532,0,2,0
0.02349,0.77626,0,2.25,0
0.019658,0.84847,0,2.5,0
0.016434,0.87069,0,2.75,0
0.015213,0.91141,0,3,0
0.015246,0.93979,0,3.25,0
0.016321,0.95212,0,3.5,0
0.018178,0.96937,0,3.75,0
0.021702,0.98233,0,4,0
0.023854,0.9867,0,4.25,0
0.030787,0.99465,0,4.5,0
0.035965,0.99847,0,4.75,0
0.048835,1.001,0,5,0
