"S22","d1","d2","d3","dd1:0","dd1:1","dd1:2","dd2:0","dd2:1","dd2:2","dd3:0","dd3:1","dd3:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.25,0,0.25,0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.5,0,0.5,0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.75,0,0.75,0
-0.10505,-9.6632e-15,9.6443e-12,-9.666e-15,-2.2553e-12,6.5161e-14,4.6385e-15,1.3257e-13,1.5591e-12,1.3199e-13,4.7202e-15,6.515e-14,-2.2505e-12,1,1,0,1,0
0.0933,-1.3537e-15,9.9254e-12,-1.3533e-15,-5.8292e-13,8.0384e-15,-1.0205e-15,-7.2578e-14,8.3024e-13,-7.1103e-14,-1.0131e-15,8.0586e-15,-5.841e-13,1,1.25,0,1.25,0
0.38354,-1.5517e-16,1.0231e-11,-1.5493e-16,-5.3046e-13,4.9944e-15,-4.2694e-17,7.9592e-14,1.8119e-12,8.0867e-14,-5.6922e-17,4.9807e-15,-5.3061e-13,1,1.5,0,1.5,0
0.5618,1.2214e-16,1.079e-11,1.2195e-16,-7.4468e-13,8.2421e-16,-8.8101e-16,5.7258e-14,2.6266e-12,5.7621e-14,-8.6561e-16,8.2827e-16,-7.4551e-13,1,1.75,0,1.75,0
0.69476,1.957e-16,1.1531e-11,1.955e-16,-9.1594e-13,-9.6205e-18,-7.1244e-16,2.8411e-14,3.2435e-12,2.8802e-14,-7.0472e-16,-1.0434e-17,-9.1618e-13,1,2,0,2,0
0.78551,2.0577e-16,1.2398e-11,2.057e-16,-1.0485e-12,-1.0452e-16,-4.1195e-16,1.8475e-14,3.6783e-12,1.8758e-14,-4.0817e-16,-1.0429e-16,-1.0487e-12,1,2.25,0,2.25,0
0.84237,1.7726e-16,1.3352e-11,1.7723e-16,-1.1419e-12,-7.1998e-17,-2.6609e-16,1.0317e-14,3.9595e-12,1.0416e-14,-2.644e-16,-7.1717e-17,-1.142e-12,1,2.5,0,2.5,0
0.88276,1.5205e-16,1.4369e-11,1.52e-16,-1.2086e-12,-7.1001e-17,-1.7541e-16,5.834e-15,4.1595e-12,5.8763e-15,-1.7425e-16,-7.1088e-17,-1.2087e-12,1,2.75,0,2.75,0
0.91354,1.4276e-16,1.5429e-11,1.427e-16,-1.2559e-12,-3.2689e-17,-1.1097e-16,3.3853e-15,4.309e-12,3.4078e-15,-1.1026e-16,-3.2744e-17,-1.2559e-12,1,3,0,3,0
0.93699,1.4498e-16,1.6522e-11,1.4493e-16,-1.2892e-12,1.326e-17,-7.0594e-17,1.9162e-15,4.4205e-12,1.9154e-15,-7.0215e-17,1.3255e-17,-1.2892e-12,1,3.25,0,3.25,0
0.95507,1.5685e-16,1.7638e-11,1.5681e-16,-1.312e-12,5.9452e-17,-4.4574e-17,9.878e-16,4.504e-12,9.9211e-16,-4.4446e-17,5.9524e-17,-1.312e-12,1,3.5,0,3.5,0
0.9688,1.7683e-16,1.8771e-11,1.7681e-16,-1.3263e-12,1.0157e-16,-3.003e-17,4.1942e-16,4.5649e-12,4.2265e-16,-3.0096e-17,1.0165e-16,-1.3263e-12,1,3.75,0,3.75,0
0.97911,2.0612e-16,1.9918e-11,2.0609e-16,-1.3331e-12,1.5118e-16,-2.1378e-17,1.1289e-16,4.6072e-12,9.2567e-17,-2.1356e-17,1.5115e-16,-1.3331e-12,1,4,0,4,0
0.98741,2.5127e-16,2.1074e-11,2.5125e-16,-1.3325e-12,2.193e-16,-1.5943e-17,-1.3922e-16,4.636e-12,-1.5109e-16,-1.603e-17,2.1932e-16,-1.3325e-12,1,4.25,0,4.25,0
0.99379,3.1573e-16,2.2235e-11,3.1571e-16,-1.3236e-12,3.0785e-16,-1.4021e-17,-3.7062e-16,4.651e-12,-3.7707e-16,-1.412e-17,3.0784e-16,-1.3237e-12,1,4.5,0,4.5,0
0.99831,4.0671e-16,2.3398e-11,4.0667e-16,-1.3047e-12,4.1244e-16,-1.4439e-17,-5.0927e-16,4.6508e-12,-5.1927e-16,-1.4294e-17,4.1238e-16,-1.3047e-12,1,4.75,0,4.75,0
1.0007,5.3432e-16,2.4559e-11,5.3429e-16,-1.272e-12,6.4586e-16,-1.4448e-17,-3.502e-16,4.6313e-12,-3.5021e-16,-1.4412e-17,6.459e-16,-1.2721e-12,1,5,0,5,0
