"Temperature","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
295.87,1,0,7.6,1,0
296.41,1,0.5,7.6,1,0.5
296.93,1,1,7.6,1,1
297.42,1,1.5,7.6,1,1.5
297.87,1,2,7.6,1,2
298.29,1,2.5,7.6,1,2.5
298.7,1,3,7.6,1,3
299.08,1,3.5,7.6,1,3.5
299.42,1,4,7.6,1,4
299.75,1,4.5,7.6,1,4.5
300.05,1,5,7.6,1,5
300.33,1,5.5,7.6,1,5.5
300.6,1,6,7.6,1,6
300.84,1,6.5,7.6,1,6.5
301.06,1,7,7.6,1,7
301.27,1,7.5,7.6,1,7.5
301.45,1,8,7.6,1,8
301.61,1,8.5,7.6,1,8.5
301.76,1,9,7.6,1,9
301.89,1,9.5,7.6,1,9.5
302.01,1,10,7.6,1,10
302.11,1,10.5,7.6,1,10.5
302.19,1,11,7.6,1,11
302.27,1,11.5,7.6,1,11.5
302.33,1,12,7.6,1,12
302.38,1,12.5,7.6,1,12.5
302.42,1,13,7.6,1,13
302.45,1,13.5,7.6,1,13.5
302.47,1,14,7.6,1,14
302.47,1,14.5,7.6,1,14.5
302.48,1,15,7.6,1,15
302.48,1,15.5,7.6,1,15.5
302.46,1,16,7.6,1,16
302.44,1,16.5,7.6,1,16.5
302.42,1,17,7.6,1,17
302.39,1,17.5,7.6,1,17.5
302.35,1,18,7.6,1,18
302.32,1,18.5,7.6,1,18.5
302.27,1,19,7.6,1,19
302.24,1,19.5,7.6,1,19.5
302.2,1,20,7.6,1,20
302.17,1,20.5,7.6,1,20.5
302.13,1,21,7.6,1,21
302.1,1,21.5,7.6,1,21.5
302.07,1,22,7.6,1,22
302.03,1,22.5,7.6,1,22.5
302.01,1,23,7.6,1,23
301.99,1,23.5,7.6,1,23.5
301.98,1,24,7.6,1,24
301.97,1,24.5,7.6,1,24.5
301.97,1,25,7.6,1,25
301.96,1,25.5,7.6,1,25.5
301.97,1,26,7.6,1,26
301.97,1,26.5,7.6,1,26.5
301.98,1,27,7.6,1,27
301.99,1,27.5,7.6,1,27.5
301.99,1,28,7.6,1,28
301.99,1,28.5,7.6,1,28.5
301.99,1,29,7.6,1,29
301.99,1,29.5,7.6,1,29.5
301.98,1,30,7.6,1,30
301.96,1,30.5,7.6,1,30.5
301.95,1,31,7.6,1,31
301.91,1,31.5,7.6,1,31.5
301.87,1,32,7.6,1,32
301.82,1,32.5,7.6,1,32.5
301.77,1,33,7.6,1,33
301.7,1,33.5,7.6,1,33.5
301.63,1,34,7.6,1,34
301.55,1,34.5,7.6,1,34.5
301.45,1,35,7.6,1,35
301.34,1,35.5,7.6,1,35.5
301.23,1,36,7.6,1,36
301.1,1,36.5,7.6,1,36.5
300.96,1,37,7.6,1,37
300.81,1,37.5,7.6,1,37.5
300.64,1,38,7.6,1,38
300.46,1,38.5,7.6,1,38.5
300.27,1,39,7.6,1,39
300.06,1,39.5,7.6,1,39.5
299.82,1,40,7.6,1,40
299.59,1,40.5,7.6,1,40.5
299.33,1,41,7.6,1,41
299.06,1,41.5,7.6,1,41.5
298.75,1,42,7.6,1,42
298.44,1,42.5,7.6,1,42.5
298.09,1,43,7.6,1,43
297.73,1,43.5,7.6,1,43.5
297.35,1,44,7.6,1,44
296.95,1,44.5,7.6,1,44.5
296.52,1,45,7.6,1,45
296.06,1,45.5,7.6,1,45.5
295.58,1,46,7.6,1,46
nan,0,46.5,7.6,1,46.5
nan,0,47,7.6,1,47
nan,0,47.5,7.6,1,47.5
nan,0,48,7.6,1,48
nan,0,48.5,7.6,1,48.5
nan,0,49,7.6,1,49
nan,0,49.5,7.6,1,49.5
nan,0,50,7.6,1,50
