"T","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
295.88,1,0,7.6,1,0
296.43,1,0.5,7.6,1,0.5
296.94,1,1,7.6,1,1
297.43,1,1.5,7.6,1,1.5
297.89,1,2,7.6,1,2
298.31,1,2.5,7.6,1,2.5
298.71,1,3,7.6,1,3
299.09,1,3.5,7.6,1,3.5
299.44,1,4,7.6,1,4
299.77,1,4.5,7.6,1,4.5
300.07,1,5,7.6,1,5
300.35,1,5.5,7.6,1,5.5
300.61,1,6,7.6,1,6
300.85,1,6.5,7.6,1,6.5
301.07,1,7,7.6,1,7
301.27,1,7.5,7.6,1,7.5
301.46,1,8,7.6,1,8
301.62,1,8.5,7.6,1,8.5
301.77,1,9,7.6,1,9
301.9,1,9.5,7.6,1,9.5
302.02,1,10,7.6,1,10
302.12,1,10.5,7.6,1,10.5
302.21,1,11,7.6,1,11
302.28,1,11.5,7.6,1,11.5
302.34,1,12,7.6,1,12
302.39,1,12.5,7.6,1,12.5
302.43,1,13,7.6,1,13
302.46,1,13.5,7.6,1,13.5
302.48,1,14,7.6,1,14
302.49,1,14.5,7.6,1,14.5
302.49,1,15,7.6,1,15
302.48,1,15.5,7.6,1,15.5
302.47,1,16,7.6,1,16
302.45,1,16.5,7.6,1,16.5
302.43,1,17,7.6,1,17
302.4,1,17.5,7.6,1,17.5
302.37,1,18,7.6,1,18
302.33,1,18.5,7.6,1,18.5
302.29,1,19,7.6,1,19
302.25,1,19.5,7.6,1,19.5
302.22,1,20,7.6,1,20
302.18,1,20.5,7.6,1,20.5
302.14,1,21,7.6,1,21
302.11,1,21.5,7.6,1,21.5
302.08,1,22,7.6,1,22
302.05,1,22.5,7.6,1,22.5
302.03,1,23,7.6,1,23
302.01,1,23.5,7.6,1,23.5
301.99,1,24,7.6,1,24
301.98,1,24.5,7.6,1,24.5
301.98,1,25,7.6,1,25
301.98,1,25.5,7.6,1,25.5
301.98,1,26,7.6,1,26
301.99,1,26.5,7.6,1,26.5
301.99,1,27,7.6,1,27
302,1,27.5,7.6,1,27.5
302.01,1,28,7.6,1,28
302.01,1,28.5,7.6,1,28.5
302.01,1,29,7.6,1,29
302,1,29.5,7.6,1,29.5
302,1,30,7.6,1,30
301.98,1,30.5,7.6,1,30.5
301.96,1,31,7.6,1,31
301.92,1,31.5,7.6,1,31.5
301.89,1,32,7.6,1,32
301.84,1,32.5,7.6,1,32.5
301.78,1,33,7.6,1,33
301.71,1,33.5,7.6,1,33.5
301.64,1,34,7.6,1,34
301.55,1,34.5,7.6,1,34.5
301.46,1,35,7.6,1,35
301.35,1,35.5,7.6,1,35.5
301.23,1,36,7.6,1,36
301.1,1,36.5,7.6,1,36.5
300.96,1,37,7.6,1,37
300.81,1,37.5,7.6,1,37.5
300.64,1,38,7.6,1,38
300.46,1,38.5,7.6,1,38.5
300.27,1,39,7.6,1,39
300.06,1,39.5,7.6,1,39.5
299.84,1,40,7.6,1,40
299.6,1,40.5,7.6,1,40.5
299.34,1,41,7.6,1,41
299.06,1,41.5,7.6,1,41.5
298.76,1,42,7.6,1,42
298.44,1,42.5,7.6,1,42.5
298.1,1,43,7.6,1,43
297.74,1,43.5,7.6,1,43.5
297.36,1,44,7.6,1,44
296.95,1,44.5,7.6,1,44.5
296.52,1,45,7.6,1,45
296.07,1,45.5,7.6,1,45.5
295.59,1,46,7.6,1,46
nan,0,46.5,7.6,1,46.5
nan,0,47,7.6,1,47
nan,0,47.5,7.6,1,47.5
nan,0,48,7.6,1,48
nan,0,48.5,7.6,1,48.5
nan,0,49,7.6,1,49
nan,0,49.5,7.6,1,49.5
nan,0,50,7.6,1,50
